0_topic,1_topic,2_topic,3_topic,4_topic,5_topic,6_topic,7_topic,8_topic,9_topic,10_topic,11_topic,12_topic,13_topic,14_topic
0.004166666666666758,0.004166666666666781,0.004166666666666878,0.0041666666666667585,0.0041666666666667655,0.004166666666666829,0.004166666666666759,0.004166666666666757,0.0041666666666667716,0.9416666666666652,0.004166666666666722,0.004166666666666795,0.004166666666666739,0.004166666666666756,0.004166666666666762
0.005128205214005565,0.00512820512820519,0.005128205128205241,0.005128209049210357,0.005128205128205181,0.005128210186737912,0.0051282051282051785,0.005128206189496851,0.005128205128205185,0.005128205607075816,0.928205117599627,0.005128205128205198,0.005128205128205167,0.005128205128205176,0.005128205128205179
0.00416666666666677,0.004166666666666795,0.004166667757362638,0.00416666666666677,0.004166666666666778,0.004166666738659092,0.004166666995676125,0.004166666666666768,0.004166666666666785,0.004166666666666815,0.004166667761537059,0.0041666666666668115,0.004166666666666747,0.004166666666666767,0.9416666640800972
0.004761904761905212,0.004761904761905325,0.14761903398491374,0.004761904761905214,0.7904762021871856,0.004761904761905565,0.004761904761905219,0.004761904761905205,0.0047619047619052775,0.004761906247049784,0.0047619047619050356,0.004761904761905394,0.004761904761905116,0.004761905199892943,0.0047619047619052324
0.006666666666666705,0.0066666666666667165,0.00666666666666676,0.9066666588399537,0.00666666666666671,0.006666670652811629,0.006666666666666707,0.006666667285149125,0.006666666666666712,0.0066666666666667235,0.006666669888751806,0.006666666666666722,0.0066666666666666975,0.006666666666666705,0.006666666666666708
0.0030303030303032224,0.0030303030303032697,0.003030304775125879,0.0030303030303032233,0.4575757525780631,0.0030303031024698523,0.003030303360109001,0.0030303030303032194,0.0030303030303032497,0.0030303030303033053,0.0030303030303031474,0.0030303030303032987,0.0030303030303031817,0.003030303030303218,0.5030303058811998
0.00512820512820519,0.0051282051282052045,0.0051282051282052704,0.00512820512820519,0.005128205128205194,0.0051282051282052375,0.005128205128205191,0.9282051266902768,0.0051282051282051985,0.005128205128205217,0.0051282066430557265,0.005128205128205214,0.005128205128205177,0.005128205128205189,0.005128205128205193
0.005128205128205399,0.005128205128205466,0.005128205128205755,0.0051282051282054,0.005128205128205419,0.005128205128205609,0.005128205128205401,0.005128205128205393,0.005128205128205437,0.005128205128205515,0.0051282072924391,0.005128205128205506,0.005128205128205341,0.005128205128205392,0.9282051260408899
0.0030303030303031396,0.003030303030303167,0.0030303035921470595,0.0030303030303031405,0.003030303030303148,0.00303030306739022,0.003030303199793138,0.003030303030303138,0.0030303030303031556,0.003030303030303187,0.0030303030303030967,0.003030303030303184,0.0030303030303031166,0.003030303030303138,0.957575756807335
0.0035087721835990178,0.003508771929824606,0.003508772099889818,0.0035087721032771497,0.0035087719298245996,0.0035087719298246252,0.0035087719298245975,0.003508771929824597,0.0035087719298246027,0.003508771929824613,0.003508771929824583,0.0035087733173643364,0.9508771909109817,0.003508771929824596,0.003508772016466654
